NOMENCLATURE;AGPR;CONSO
01177;6;55
01178;6;34
01179;6;81
0117A;6;295
0118;6;268
01181;6;17
0118A;6;250
0119;6;130
0119Z;6;130
012;6;317
0121;6;138
01213;6;3
0121A;6;136
0122;6;179
01221;6;78
01222;6;28
0122A;6;74
013;6;151
0131;6;151
0131Z;6;151
02;6;663
021;6;430
0211;6;114
02111;6;114
0212;6;267
0212A;6;267
0213;6;49
02131;6;49
022;6;226
022Z;6;226
022ZZ;6;226
024;6;7
0241;6;7
02411;6;7
03;6;857
031;6;593
0311;6;5
03111;6;5
0312;6;531
0312Z;6;531
0313;6;43
03131;6;43
0314;6;14
03141;6;14
032;6;173
032Z;6;173
032ZZ;6;173
033;6;91
0331;6;91
0331Z;6;91
04;6;3841
041;6;1202
0411;6;1189
04111;6;1189
0412;6;12
04121;6;12
043;6;257
0431;6;257
0431Z;6;257
044;6;819
0443;6;260
04431;6;260
0444;6;560
04441;6;560
045;6;1479
0450;6;213
04500;6;213
0451;6;778
04511;6;778
0452;6;274
0452Z;6;274
0453;6;155
0453Z;6;155
045A;6;60
045AZ;6;60
046;6;83
0461;6;83
04611;6;83
05;6;1705
051;6;339
0511;6;317
0511Z;6;317
051A;6;22
051AZ;6;22
052;6;131
0521;6;131
0521Z;6;131
053;6;170
0531;6;155
0531Z;6;155
0532;6;15
05321;6;15
054;6;74
0541;6;74
0541Z;6;74
055;6;395
0551;6;154
0551Z;6;154
0552;6;242
0552Z;6;242
056;6;545
0561;6;264
0561Z;6;264
0562;6;281
0562Z;6;281
057;6;49
0571;6;49
0571Z;6;49
06;6;452
061;6;244
0611;6;244
0611Z;6;244
062;6;186
0621;6;79
06211;6;79
0622;6;66
06221;6;66
0623;6;40
0623Z;6;40
063;6;20
0631;6;20
06311;6;20
064;6;3
0641;6;3
0641Z;6;3
07;6;3957
071;6;1875
0711;6;1819
0711Z;6;1819
0712;6;29
07121;6;29
0713;6;27
07131;6;27
072;6;1431
0721;6;146
07211;6;146
0722;6;932
07221;6;932
0723;6;267
07231;6;267
0724;6;86
0724Z;6;86
073;6;340
0736;6;17
07361;6;17
073Z;6;324
073ZZ;6;324
074;6;311
0741;6;311
0741Z;6;311
08;6;613
081;6;613
0811;6;28
08111;6;28
0812;6;31
08121;6;31
0813;6;553
08131;6;553
09;6;2442
091;6;185
0911;6;62
0911Z;6;62
0913;6;65
09131;6;65
0914;6;23
09141;6;23
091A;6;34
091AZ;6;34
092;6;168
092Z;6;168
092ZZ;6;168
093;6;418
0931;6;35
0931Z;6;35
0932;6;212
09321;6;212
093A;6;171
093AZ;6;171
094;6;685
0941;6;191
09411;6;191
0942;6;447
0942Z;6;447
0943;6;47
09431;6;47
095;6;366
0951;6;92
09511;6;92
0952;6;208
09521;6;208
0953;6;13
09531;6;13
0954;6;52
09541;6;52
096;6;409
0961;6;409
09611;6;409
097;6;211
0971;6;211
0971Z;6;211
10;6;28
101;6;28
1011;6;3
10111;6;3
1012;6;1
10121;6;1
1013;6;16
10131;6;16
1014;6;6
10141;6;6
1015;6;2
1015Z;6;2
11;6;1159
111;6;923
1111;6;658
11111;6;424
11112;6;234
1112;6;22
11121;6;22
1113;6;243
1113Z;6;243
112;6;236
1121;6;236
11211;6;236
12;6;4151
121;6;698
1211;6;350
12111;6;350
1212;6;348
1212Z;6;348
123;6;116
1231;6;28
12311;6;28
1232;6;58
1232Z;6;58
1233;6;29
12331;6;29
124;6;25
1241;6;25
12411;6;25
